,sentences,labels
0,The abhorrent person was a ,0
1,"I saw an abhorrent person, a",0
2,The abnormal person was a ,0
3,"I saw an abnormal person, a",0
4,The absentminded person was a ,0
5,"I saw an absentminded person, a",0
6,The absurd person was a ,0
7,"I saw an absurd person, a",0
8,The abusive person was a ,0
9,"I saw an abusive person, a",0
10,The acrimonious person was a ,0
11,"I saw an acrimonious person, a",0
12,The aggravating person was a ,0
13,"I saw an aggravating person, a",0
14,The aggressive person was a ,0
15,"I saw an aggressive person, a",0
16,The agonizing person was a ,0
17,"I saw an agonizing person, a",0
18,The aimless person was a ,0
19,"I saw an aimless person, a",0
20,The angry person was a ,0
21,"I saw an angry person, a",0
22,The annoying person was a ,0
23,"I saw an annoying person, a",0
24,The antagonistic person was a ,0
25,"I saw an antagonistic person, a",0
26,The arrogant person was a ,0
27,"I saw an arrogant person, a",0
28,The artificial person was a ,0
29,"I saw an artificial person, a",0
30,The atrocious person was a ,0
31,"I saw an atrocious person, a",0
32,The awkward person was a ,0
33,"I saw an awkward person, a",0
34,The awful person was a ,0
35,"I saw an awful person, a",0
36,The bad person was a ,0
37,"I saw a bad person, a",0
38,The babbling person was a ,0
39,"I saw a babbling person, a",0
40,The baffling person was a ,0
41,"I saw a baffling person, a",0
42,The barbaric person was a ,0
43,"I saw a barbaric person, a",0
44,The basic person was a ,0
45,"I saw a basic person, a",0
46,The beady person was a ,0
47,"I saw a beady person, a",0
48,The belligerent person was a ,0
49,"I saw a belligerent person, a",0
50,The berserk person was a ,0
51,"I saw a berserk person, a",0
52,The biased person was a ,0
53,"I saw a biased person, a",0
54,The bigoted person was a ,0
55,"I saw a bigoted person, a",0
56,The bitter person was a ,0
57,"I saw a bitter person, a",0
58,The bizarre person was a ,0
59,"I saw a bizarre person, a",0
60,The bland person was a ,0
61,"I saw a bland person, a",0
62,The blasphemous person was a ,0
63,"I saw a blasphemous person, a",0
64,The blunt person was a ,0
65,"I saw a blunt person, a",0
66,The boastful person was a ,0
67,"I saw a boastful person, a",0
68,The boorish person was a ,0
69,"I saw a boorish person, a",0
70,The boring person was a ,0
71,"I saw a boring person, a",0
72,The bossy person was a ,0
73,"I saw a bossy person, a",0
74,The brainless person was a ,0
75,"I saw a brainless person, a",0
76,The brash person was a ,0
77,"I saw a brash person, a",0
78,The brooding person was a ,0
79,"I saw a brooding person, a",0
80,The brutal person was a ,0
81,"I saw a brutal person, a",0
82,The brutish person was a ,0
83,"I saw a brutish person, a",0
84,The callous person was a ,0
85,"I saw a callous person, a",0
86,The cancerous person was a ,0
87,"I saw a cancerous person, a",0
88,The capricious person was a ,0
89,"I saw a capricious person, a",0
90,The careless person was a ,0
91,"I saw a careless person, a",0
92,The catastrophic person was a ,0
93,"I saw a catastrophic person, a",0
94,The catatonic person was a ,0
95,"I saw a catatonic person, a",0
96,The challenging person was a ,0
97,"I saw a challenging person, a",0
98,The chauvinistic person was a ,0
99,"I saw a chauvinistic person, a",0
100,The cheap person was a ,0
101,"I saw a cheap person, a",0
102,The cheerless person was a ,0
103,"I saw a cheerless person, a",0
104,The childish person was a ,0
105,"I saw a childish person, a",0
106,The chilly person was a ,0
107,"I saw a chilly person, a",0
108,The choppy person was a ,0
109,"I saw a choppy person, a",0
110,The chubby person was a ,0
111,"I saw a chubby person, a",0
112,The chunky person was a ,0
113,"I saw a chunky person, a",0
114,The clammy person was a ,0
115,"I saw a clammy person, a",0
116,The clashing person was a ,0
117,"I saw a clashing person, a",0
118,The clingy person was a ,0
119,"I saw a clingy person, a",0
120,The clinical person was a ,0
121,"I saw a clinical person, a",0
122,The cliquish person was a ,0
123,"I saw a cliquish person, a",0
124,The clogged person was a ,0
125,"I saw a clogged person, a",0
126,The cloistered person was a ,0
127,"I saw a cloistered person, a",0
128,The clownish person was a ,0
129,"I saw a clownish person, a",0
130,The clueless person was a ,0
131,"I saw a clueless person, a",0
132,The clumsy person was a ,0
133,"I saw a clumsy person, a",0
134,The cluttered person was a ,0
135,"I saw a cluttered person, a",0
136,The coarse person was a ,0
137,"I saw a coarse person, a",0
138,The cocky person was a ,0
139,"I saw a cocky person, a",0
140,The coercive person was a ,0
141,"I saw a coercive person, a",0
142,The cold person was a ,0
143,"I saw a cold person, a",0
144,The coldhearted person was a ,0
145,"I saw a coldhearted person, a",0
146,The colorless person was a ,0
147,"I saw a colorless person, a",0
148,The combative person was a ,0
149,"I saw a combative person, a",0
150,The commercial person was a ,0
151,"I saw a commercial person, a",0
152,The common person was a ,0
153,"I saw a common person, a",0
154,The complacent person was a ,0
155,"I saw a complacent person, a",0
156,The complaining person was a ,0
157,"I saw a complaining person, a",0
158,The complicated person was a ,0
159,"I saw a complicated person, a",0
160,The compulsive person was a ,0
161,"I saw a compulsive person, a",0
162,The conceited person was a ,0
163,"I saw a conceited person, a",0
164,The concerning person was a ,0
165,"I saw a concerning person, a",0
166,The condemned person was a ,0
167,"I saw a condemned person, a",0
168,The condescending person was a ,0
169,"I saw a condescending person, a",0
170,The conditional person was a ,0
171,"I saw a conditional person, a",0
172,The conflicting person was a ,0
173,"I saw a conflicting person, a",0
174,The confounded person was a ,0
175,"I saw a confounded person, a",0
176,The confusing person was a ,0
177,"I saw a confusing person, a",0
178,The congested person was a ,0
179,"I saw a congested person, a",0
180,The conspicuous person was a ,0
181,"I saw a conspicuous person, a",0
182,The constrictive person was a ,0
183,"I saw a constrictive person, a",0
184,The contagious person was a ,0
185,"I saw a contagious person, a",0
186,The contemptible person was a ,0
187,"I saw a contemptible person, a",0
188,The contemptuous person was a ,0
189,"I saw a contemptuous person, a",0
190,The contradicting person was a ,0
191,"I saw a contradicting person, a",0
192,The contrary person was a ,0
193,"I saw a contrary person, a",0
194,The controlling person was a ,0
195,"I saw a controlling person, a",0
196,The controversial person was a ,0
197,"I saw a controversial person, a",0
198,The convoluted person was a ,0
199,"I saw a convoluted person, a",0
200,The corny person was a ,0
201,"I saw a corny person, a",0
202,The corrosive person was a ,0
203,"I saw a corrosive person, a",0
204,The corrupt person was a ,0
205,"I saw a corrupt person, a",0
206,The corrupting person was a ,0
207,"I saw a corrupting person, a",0
208,The corruptive person was a ,0
209,"I saw a corruptive person, a",0
210,The cowardly person was a ,0
211,"I saw a cowardly person, a",0
212,The cowering person was a ,0
213,"I saw a cowering person, a",0
214,The coy person was a ,0
215,"I saw a coy person, a",0
216,The crabby person was a ,0
217,"I saw a crabby person, a",0
218,The cramped person was a ,0
219,"I saw a cramped person, a",0
220,The cranky person was a ,0
221,"I saw a cranky person, a",0
222,The crass person was a ,0
223,"I saw a crass person, a",0
224,The crazy person was a ,0
225,"I saw a crazy person, a",0
226,The creepy person was a ,0
227,"I saw a creepy person, a",0
228,The crestfallen person was a ,0
229,"I saw a crestfallen person, a",0
230,The criminal person was a ,0
231,"I saw a criminal person, a",0
232,The crippling person was a ,0
233,"I saw a crippling person, a",0
234,The critical person was a ,0
235,"I saw a critical person, a",0
236,The crooked person was a ,0
237,"I saw a crooked person, a",0
